2026-03-26 08:44:13 | INFO     | app.services.stock_service:get_stock_list:201 - 从pytdx获取股票列表成功: 5196条
2026-03-26 08:44:13 | INFO     | app.services.screening_engine:screen_stocks:53 - 获取到 5196 只股票
2026-03-26 08:44:13 | INFO     | app.services.screening_engine:screen_stocks:59 - 应用排除规则 exclude_st, 剩余 5017 只
2026-03-26 08:44:13 | INFO     | app.services.screening_engine:screen_stocks:59 - 应用排除规则 market_cap, 剩余 5017 只
2026-03-26 08:44:15 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:44:15 | INFO     | app.services.stock_service:get_intraday_data:496 - 从pytdx获取分时数据成功: 000001, 240条
2026-03-26 08:44:19 | INFO     | app.services.stock_service:get_kline_data:324 - 从pytdx获取K线数据成功: 000001, 60条
2026-03-26 08:44:21 | INFO     | app.services.stock_service:get_kline_data:324 - 从pytdx获取K线数据成功: 000001, 60条
2026-03-26 08:44:24 | INFO     | app.services.stock_service:get_intraday_data:496 - 从pytdx获取分时数据成功: 000001, 240条
2026-03-26 08:44:26 | INFO     | app.services.stock_service:get_kline_data:324 - 从pytdx获取K线数据成功: 000001, 60条
2026-03-26 08:44:26 | INFO     | app.services.stock_service:get_kline_data:324 - 从pytdx获取K线数据成功: 000002, 60条
2026-03-26 08:44:28 | INFO     | app.services.stock_service:get_kline_data:324 - 从pytdx获取K线数据成功: 000001, 60条
2026-03-26 08:44:41 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:45:11 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:45:41 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:46:05 | WARNING  | app.services.stock_service:get_intraday_data:471 - pytdx未获取到分时数据 000001，尝试重连...
2026-03-26 08:46:05 | INFO     | app.services.stock_service:_reconnect:128 - 尝试重新连接pytdx...
2026-03-26 08:46:36 | INFO     | app.services.stock_service:_get_api:112 - pytdx连接成功: 218.75.126.9:7709
2026-03-26 08:46:36 | INFO     | app.services.stock_service:_load_stock_names:77 - 已缓存 1491 个股票名称
2026-03-26 08:46:36 | INFO     | app.services.stock_service:get_intraday_data:496 - 从pytdx获取分时数据成功: 000001, 240条
2026-03-26 08:46:37 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:46:37 | INFO     | app.services.stock_service:get_kline_data:324 - 从pytdx获取K线数据成功: 000001, 3条
2026-03-26 08:46:41 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:47:11 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:47:41 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:48:41 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:49:30 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:49:32 | INFO     | app.services.stock_service:get_stock_list:201 - 从pytdx获取股票列表成功: 5196条
2026-03-26 08:49:32 | INFO     | app.services.screening_engine:screen_stocks:53 - 获取到 5196 只股票
2026-03-26 08:49:32 | INFO     | app.services.screening_engine:screen_stocks:59 - 应用排除规则 exclude_st, 剩余 5017 只
2026-03-26 08:49:32 | INFO     | app.services.screening_engine:screen_stocks:59 - 应用排除规则 market_cap, 剩余 5017 只
2026-03-26 08:49:33 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:49:33 | INFO     | app.services.stock_service:get_intraday_data:496 - 从pytdx获取分时数据成功: 000001, 240条
2026-03-26 08:49:41 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:49:43 | INFO     | app.services.stock_service:get_stock_list:201 - 从pytdx获取股票列表成功: 5196条
2026-03-26 08:49:43 | INFO     | app.services.screening_engine:screen_stocks:53 - 获取到 5196 只股票
2026-03-26 08:49:43 | INFO     | app.services.screening_engine:screen_stocks:59 - 应用排除规则 exclude_st, 剩余 5017 只
2026-03-26 08:49:43 | INFO     | app.services.screening_engine:screen_stocks:59 - 应用排除规则 market_cap, 剩余 5017 只
2026-03-26 08:49:43 | INFO     | app.services.stock_service:get_intraday_data:496 - 从pytdx获取分时数据成功: 000001, 240条
2026-03-26 08:49:46 | INFO     | app.services.stock_service:get_kline_data:324 - 从pytdx获取K线数据成功: 000001, 3条
2026-03-26 08:49:46 | INFO     | app.services.stock_service:get_kline_data:324 - 从pytdx获取K线数据成功: 000001, 3条
2026-03-26 08:49:46 | INFO     | app.services.stock_service:get_intraday_data:496 - 从pytdx获取分时数据成功: 000001, 240条
2026-03-26 08:50:02 | INFO     | app.main:lifespan:26 - 应用关闭
2026-03-26 08:50:05 | INFO     | app.main:lifespan:19 - 启动 镇金仓
2026-03-26 08:50:05 | INFO     | app.main:lifespan:21 - 数据库初始化完成
2026-03-26 08:50:39 | INFO     | app.services.stock_service:_get_api:112 - pytdx连接成功: 218.75.126.9:7709
2026-03-26 08:50:40 | INFO     | app.services.stock_service:_load_stock_names:77 - 已缓存 1491 个股票名称
2026-03-26 08:50:40 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:50:41 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:51:11 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:51:35 | INFO     | app.main:lifespan:26 - 应用关闭
2026-03-26 08:51:37 | INFO     | app.main:lifespan:19 - 启动 镇金仓
2026-03-26 08:51:37 | INFO     | app.main:lifespan:21 - 数据库初始化完成
2026-03-26 08:51:55 | INFO     | app.services.stock_service:_get_api:112 - pytdx连接成功: 180.153.18.170:7709
2026-03-26 08:51:56 | INFO     | app.services.stock_service:_load_stock_names:77 - 已缓存 1491 个股票名称
2026-03-26 08:51:56 | INFO     | app.services.stock_service:get_market_overview:437 - 从pytdx获取市场概览成功
2026-03-26 08:51:56 | INFO     | app.services.stock_service:get_kline_data:331 - 从pytdx获取K线数据成功: 000001, 60条
2026-03-26 08:51:56 | INFO     | app.services.stock_service:get_kline_data:331 - 从pytdx获取K线数据成功: 000001, 60条
2026-03-26 08:51:57 | INFO     | app.services.stock_service:get_kline_data:331 - 从pytdx获取K线数据成功: 000001, 3条
2026-03-26 08:51:57 | INFO     | app.services.stock_service:get_kline_data:331 - 从pytdx获取K线数据成功: 000001, 60条
2026-03-26 08:51:57 | INFO     | app.services.stock_service:get_intraday_data:503 - 从pytdx获取分时数据成功: 000001, 240条
2026-03-26 08:51:57 | INFO     | app.services.stock_service:get_market_overview:437 - 从pytdx获取市场概览成功
2026-03-26 08:52:11 | INFO     | app.services.stock_service:get_market_overview:437 - 从pytdx获取市场概览成功
2026-03-26 08:52:33 | INFO     | app.main:lifespan:26 - 应用关闭
2026-03-26 08:52:36 | INFO     | app.main:lifespan:19 - 启动 镇金仓
2026-03-26 08:52:36 | INFO     | app.main:lifespan:21 - 数据库初始化完成
2026-03-26 08:52:55 | INFO     | app.services.stock_service:_get_api:112 - pytdx连接成功: 180.153.18.170:7709
2026-03-26 08:52:56 | INFO     | app.services.stock_service:_load_stock_names:77 - 已缓存 1491 个股票名称
2026-03-26 08:52:56 | INFO     | app.services.stock_service:get_market_overview:439 - 从pytdx获取市场概览成功
